id,title,release_date,description,baseline_score,developers,platforms,genres,release_year
1000423,Canyon Bomber,1979-04-01,"Canyon Bomber is the a port of the arcade game of the same name, rewritten in color and with a different visual style for the Atari 2600. The player and an opponent fly a blimp or biplane over a canyon full of numbered, circular rocks, arranged in layers. The player does not control the flight of vehicles, but only presses a button to drop bombs which destroy rocks and give points. Each rock is labeled with the points given for destroying it. As the number of rocks is reduced, it becomes harder to hit them without missing. The third time a player drops a bomb without hitting a rock, the game is over.",1.6224489795918366,Atari,Atari 2600,"Arcade,Shooter",1979
1000439,Akalabeth: World of Doom,1979-06-30,"In the game, the player character visits Lord British and is instructed by him to kill certain monsters. The final mission is to kill a balrog, and after this has been accomplished, Lord British proclaims that ""thou hast proven thyself worthy of knighthood"".",2.4705882352941178,"Quantum Toast,Richard Garriott","Windows PC,Mac,Linux,iOS,PC DOS,Apple II",RPG,1979
1000445,Lunar Lander,1979-08-01,"Lunar Lander is an arcade game released by Atari, Inc. in 1979, which uses a vector monitor to display vector graphics. The object is to pilot a lunar landing module to a safe touchdown on the moon.",2.7583333333333333,"Atari Corporation,Atari","Arcade,Atari 8-bit,TRS-80","Simulator,Strategy",1979
1000449,Galaxian,1979-09-15,"Galaxian is a shooter arcade game developed by Namco in 1979. It was released by Namco in Japan and a few months later by Midway Games in North America. The game was developed to compete with Taito Corporation's Space Invaders, released a year earlier, and featured a similar space theme. The player controls a space ship in the bottom part of the screen and shoots at enemies descending from the top of the screen. The game was received very well by the public and has continued to be a game with a competitive community to this day. It was followed by a successful sequel called Galaga in 1981 and two less known sequels called Gaplus in 1984 and Galaga '88 in 1987. Galaxian was one of the most popular games in the golden age of arcade video games.",2.8822429906542055,"Namco,Polyvox",Arcade,"Arcade,Shooter",1979
1000450,Zork III: The Dungeon Master,1979-09-30,"In the third game of the adventure game series Zork, you are once again a nameless adventurer, only this time you won't travel through a beautiful magical land, but are immediately cast into a deep dungeon. Like in a dream, you hear a mysterious voice telling you that you have passed all the tests but one. When conscience returns to you, you find yourself on the endless spiral of stairs, with only your trusty lantern near you... will you be able to survive the horrors of the Dungeon?",2.911764705882353,Infocom,"Mac,Atari ST/STE,Atari 8-bit,Amiga,PC DOS,Apple II,Commodore 16,Commodore Plus/4,TRS-80,Commodore C64/128,Amstrad PCW,TRS-80 Color Computer,Tatung Einstein,PDP-11,Amstrad CPC",Adventure,1979
1000463,Asteroids,1979-11-17,"Asteroids is an arcade space shooter released in November 1979. The player controls a spaceship in an asteroid field which is periodically traversed by flying saucers. The objective of the game is to destroy both, asteroids and saucers. The triangular ship can rotate left and right, fire shots straight forward, and thrust forward. Once the ship begins moving in a direction, it will continue in that direction for a time without player intervention unless the player applies thrust in a different direction. The ship eventually comes to a stop when not thrusting. The player can also send the ship into hyperspace, causing it to disappear and reappear in a random location on the screen, at the risk of self-destructing or appearing on top of an asteroid.",2.97962154294032,"Atari Inc.,Accolade","Arcade,Apple II","Arcade,Shooter",1979
1000482,Bowling,1979-12-31,"The game is based on the game of bowling, playable by one player or two players alternating. In all six variations, games last for 10 frames, or turns. At the start of each frame, the current player is given two chances to roll a bowling ball down an alley in an attempt to knock down as many of the ten bowling pins as possible. The bowler (on the left side of the screen) may move up and down his end of the alley to aim before releasing the ball. In four of the game's six variations, the ball can be steered before it hits the pins. Knocking down every pin on the first shot is a strike, while knocking every pin down in both shots is a spare. The player's score is determined by the number of pins knocked down in all 10 frames, as well as the number of strikes and spares acquired.",2.206896551724138,"Polyvox,Atari",Atari 2600,Sport,1979
1000495,Superman,1979-12-31,Superman is an action adventure game for the Atari 2600. It was one of the first single-player games for the system and one of the earliest licensed video games. Superman is one of the first to utilize multiple screens as playing areas.,1.7416666666666667,"Atari,Atari Inc.",Atari 2600,Arcade,1979
1000503,Circus Atari,1979-12-31,"3 rows of triangular balloons move along the top part of the screen, each overlaid with blue, green, and yellow (colors used in the original version), counting from the top row. A clown appears from the edge of the screen where there is a jumping board, and the player must move the seesaw located at the bottom of the screen so that the clown can bounce back off the seesaw once he jumps off from his starting position. If the player successfully gets the clown onto the seesaw, the clown on the other side shoots off into the air towards the 3 rows of balloons on the top of the screen. The clown may not have enough speed to reach the balloons if the first clown does not land squarely on the seesaw. Clowns bounce off of balloons, walls, and jumping boards, but will pass directly through multiple balloons if they are moving quickly enough. They will only bounce off the jumping boards when they are heading downwards, and will pass straight through the boards while moving upwards.",2.2291666666666665,"Atari Inc.,Atari","iOS,Atari 2600,VC 4000,1292 Advanced Programmable Video System","Arcade,Simulator",1979
1000509,Sheriff,1979-12-31,The bandits who kidnapped your girlfriend have surrounded you. Now you have to shoot your way out.,2.585714285714286,"Exidy,Nintendo R&D1",Arcade,"Arcade,Shooter",1979
1000566,Dragster,1980-02-01,"You have in your hand one of the most exciting video games ever designed. One word of caution: this game takes a little time to learn because it's so challenging. It's very tricky. So, please read these directions and give yourself some practice time. Then you can aim for the World Record. Game 1: Straight-ahead Dragster, one or two players. Game 2: Steerable Dragster, one or two players. Your Joystick Controller is both the clutch and gear shift for your Dragster; the red button is your gas pedal. Use left Joystick for the top car; right one for bottom car. Hold Joystick with button at the upper left. To shift gears, clutch by pushing Joystick to the left and shift by letting the Joystick spring back to the center. Your car starts each race in neutral (N). There are four gear positions--1, 2, 3, 4--and you must clutch and shift between each gear. You cannot downshift. When the countdown reaches 0, you can start. If you drop into gear too soon, before the end of the countdown, EARLY will appear on the screen and you have to wait for the next race. You can clutch during the countdown, but you cannot drop into 1st until the countdown reaches 0. The object of Dragster is to beat your opponent across the screen, or to race against the clock for best time.",1.9916666666666667,Activision,Atari 2600,Racing,1980
1000573,Moon Cresta,1980-02-15,"Moon Cresta is an arcade game released in 1980 by Nichibutsu. A moving starfield gives the impression of vertical scrolling, but the game is a fixed shooter in the vein of Namco's Galaxian. Incentive Software published a version of this arcade game for many 8-bit home computers of the time. Dempa also released a port of both Moon Cresta and Terra Cresta for the X68000. It was also released on the Wii Virtual Console in Japan on March 9, 2010 and PlayStation 4 (Arcade Archives) in 2014.",2.4895833333333335,"Nichibutsu,Incentive Software","Dragon 32/64,Arcade,Wii,BBC Microcomputer System,Commodore C64/128,ZX Spectrum,Amstrad CPC","Arcade,Shooter",1980
